@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_GY_X numeric
@attribute F17_PeakToPeak_on_GY_Y numeric
@attribute F18_PeakToPeak_on_GY_Z numeric
@attribute F19_MIN_on_ACC_X numeric
@attribute F20_MIN_on_ACC_Y numeric
@attribute F21_MIN_on_ACC_Z numeric
@attribute F22_MIN_on_GY_X numeric
@attribute F23_MIN_on_GY_Y numeric
@attribute F24_MIN_on_GY_Z numeric
@attribute F25_MAX_on_ACC_X numeric
@attribute F26_MAX_on_ACC_Y numeric
@attribute F27_MAX_on_ACC_Z numeric
@attribute F28_MAX_on_GY_X numeric
@attribute F29_MAX_on_GY_Y numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.00136471, 0.00387573, 1.01074, 0.0155869, -0.0329285, -0.112549, 0.000785828, 0.000555038, 0.00683594, 0.00426102, 0.00762939, 0.0316467, 0.116821, 0.0932007, 0.0786133, 0.243774, 0.357666, 0.710938, -0.0612488, -0.0408325, 0.975098, -0.108337, -0.253662, -0.569336, 0.055542, 0.0523682, 1.05371, 0.135376, 0.104004, 0.141724, Circle
0.0593262, 0.0218201, 1.00781, 0.00721741, 0.0361633, 0.0121536, 0.00112343, 0.000456095, 0.00585938, 0.00226593, 0.00836945, 0.0224915, 0.119019, 0.0819702, 0.0371094, 0.178223, 0.362793, 0.571777, 0.00611496, -0.030304, 0.990234, -0.0800781, -0.160889, -0.229248, 0.125122, 0.0516357, 1.02734, 0.0981445, 0.201782, 0.342285, Circle
0.0592346, 0.0731812, 1.02539, 0.0196533, 0.0420837, 0.171875, 0.00595856, 0.00151825, 0.00195313, 0.00378036, 0.058136, 0.0410767, 0.22644, 0.144165, 0.150391, 0.3125, 1.17969, 0.625977, -0.0354309, 0.0135803, 0.956055, -0.129028, -0.32373, -0.029129, 0.19104, 0.157715, 1.10645, 0.183472, 0.855957, 0.59668, Circle
-0.0556946, 0.0281219, 0.958496, 0.159668, 0.022583, -0.118042, 0.0346985, 0.00588989, 0.0161133, 0.0161896, 0.261963, 0.335693, 0.55127, 0.288086, 0.367676, 0.513672, 1.58105, 1.72852, -0.285156, -0.112061, 0.76709, -0.169312, -0.736328, -0.918945, 0.265869, 0.175903, 1.13477, 0.344238, 0.844727, 0.80957, Circle
-0.0352478, -0.0914307, 0.984863, 0.122986, -0.106201, 0.0305328, 0.0414429, 0.00787354, 0.0112305, 0.0234833, 0.285889, 0.250977, 0.628906, 0.299072, 0.366211, 0.579102, 1.66113, 1.53711, -0.37793, -0.231934, 0.745117, -0.235596, -0.731934, -0.755859, 0.250732, 0.0670166, 1.11133, 0.343262, 0.929199, 0.78125, Circle
-0.0383606, -0.0726318, 0.95166, 0.172485, -0.102478, 0.0294189, 0.101746, 0.0107956, 0.0195313, 0.0168457, 0.408447, 0.269287, 0.943848, 0.335938, 0.41748, 0.428711, 2.14648, 1.50195, -0.522949, -0.207397, 0.703613, -0.0128326, -1.0918, -0.709473, 0.420654, 0.128418, 1.12109, 0.415771, 1.05469, 0.79248, Circle
0.0522461, -0.106812, 0.986816, 0.101563, 0.0739136, 0.103149, 0.0377502, 0.00453949, 0.0112305, 0.0137177, 0.204468, 0.220337, 0.687988, 0.219238, 0.23584, 0.429688, 1.51074, 1.30957, -0.283447, -0.201904, 0.845215, -0.152344, -0.60498, -0.692383, 0.404541, 0.0173798, 1.08105, 0.277344, 0.905273, 0.616699, Circle
-0.0472412, -0.0932617, 0.978516, 0.132446, 0.107361, 0.0463867, 0.0391541, 0.00785828, 0.0107422, 0.0149231, 0.282959, 0.218872, 0.591797, 0.260498, 0.279297, 0.511719, 1.6123, 1.44043, -0.333008, -0.214722, 0.811523, -0.0963745, -0.626465, -0.672852, 0.258545, 0.0458069, 1.09082, 0.415039, 0.98584, 0.767578, Circle
-0.122375, -0.0882568, 0.942383, 0.190918, -0.00245285, -0.090271, 0.0602112, 0.0100479, 0.0107422, 0.0272217, 0.270752, 0.228516, 0.655273, 0.304932, 0.352539, 0.660645, 1.68555, 1.29395, -0.425781, -0.247803, 0.749023, -0.139771, -0.76709, -0.708496, 0.229248, 0.0570068, 1.10156, 0.520996, 0.917969, 0.585449, Circle
-0.0535889, -0.100525, 0.95459, 0.140381, -0.0880127, -0.0809326, 0.0513306, 0.0204926, 0.00927734, 0.0196533, 0.240356, 0.228149, 0.64502, 0.425781, 0.312988, 0.526855, 1.56055, 1.34766, -0.392822, -0.31543, 0.778809, -0.140869, -0.744629, -0.67627, 0.252197, 0.110413, 1.0918, 0.385986, 0.81543, 0.671387, Circle
-0.0311737, -0.128418, 0.991699, 0.0408325, -0.0908203, -0.0172577, 0.0309143, 0.00575256, 0.0112305, 0.0196381, 0.211426, 0.177246, 0.549805, 0.296631, 0.273438, 0.497314, 1.47754, 1.33008, -0.314697, -0.281738, 0.811523, -0.156128, -0.65332, -0.626465, 0.234985, 0.0148926, 1.08496, 0.341064, 0.82373, 0.703613, Circle
-0.0448303, -0.117981, 0.993164, 0.108887, -0.0423584, 0.0614929, 0.0355225, 0.0107422, 0.0136719, 0.0343933, 0.152222, 0.146606, 0.538574, 0.319824, 0.278809, 0.682129, 1.2627, 1.19434, -0.350098, -0.270264, 0.808105, -0.312744, -0.560547, -0.549316, 0.188477, 0.0496216, 1.08691, 0.369385, 0.702148, 0.644531, Circle
-0.0292816, -0.0745239, 0.99707, 0.0814209, -0.0305023, 0.059082, 0.037323, 0.00553894, 0.00537109, 0.0197144, 0.164185, 0.170898, 0.558105, 0.231567, 0.299316, 0.52002, 1.37109, 1.2334, -0.344971, -0.170898, 0.800293, -0.158325, -0.600586, -0.633789, 0.212891, 0.0606689, 1.09961, 0.361328, 0.77002, 0.599609, Circle
-0.0764771, -0.0684204, 0.983887, 0.1073, 0.0118103, 0.0522766, 0.0422974, 0.00345993, 0.0141602, 0.0283813, 0.19104, 0.184326, 0.60498, 0.189819, 0.301758, 0.580566, 1.30566, 1.2627, -0.394775, -0.152954, 0.791992, -0.165405, -0.577637, -0.599121, 0.210083, 0.0368958, 1.09375, 0.414795, 0.728027, 0.663086, Circle
-0.0704956, -0.057251, 0.987793, 0.0952759, 0.0700684, 0.0361328, 0.0343018, 0.00729752, 0.00976563, 0.0363159, 0.205811, 0.160645, 0.583496, 0.268799, 0.264648, 0.65332, 1.30957, 1.21777, -0.364014, -0.220947, 0.829102, -0.282715, -0.578613, -0.565918, 0.219238, 0.0476685, 1.09375, 0.370361, 0.730957, 0.651367, Circle
-0.11084, -0.0774536, 0.970215, 0.0881348, 0.0124969, -0.00741959, 0.0363159, 0.00465012, 0.012207, 0.035614, 0.194702, 0.116455, 0.561035, 0.205933, 0.300781, 0.706543, 1.25977, 1.09766, -0.381592, -0.172119, 0.808594, -0.22937, -0.52002, -0.541992, 0.179199, 0.0337524, 1.10938, 0.477051, 0.739746, 0.555176, Circle
